当前日期;次日日期;涨跌幅(%);振幅(%);成交额(千万元);次日涨跌(1=涨,0=跌,-1=最新数据)
20251022;;-0.140;1.892;30.779;-1
20251021;20251022;2.640;3.734;39.793;0
20251020;20251021;2.130;2.825;36.353;1
20251017;20251020;-2.090;3.755;36.051;1
20251016;20251017;-0.690;2.072;34.390;0
20251015;20251016;-0.550;1.783;31.746;0
20251014;20251015;0.550;2.055;56.097;0
20251013;20251014;-1.230;4.017;65.772;1
20251010;20251013;-0.680;2.578;60.802;0
20251009;20251010;1.230;6.106;79.612;0
20250930;20251009;1.250;5.833;68.313;1
20250929;20250930;3.750;5.452;75.412;1
20250926;20250929;0.430;3.613;32.740;1
20250925;20250926;-0.860;2.000;30.784;1
20250924;20250925;0.720;3.179;43.697;0
20250923;20250924;-1.840;4.119;55.863;1
20250922;20250923;-1.260;2.813;54.116;0
20250919;20250922;-1.240;3.043;71.430;0
20250918;20250919;-2.950;3.221;66.260;0
20250917;20250918;-1.060;1.992;48.337;0
20250916;20250917;-0.130;1.587;48.905;0
20250915;20250916;-0.400;1.982;36.118;0
20250912;20250915;-0.790;2.621;38.912;0
20250911;20250912;0.000;2.628;43.437;0
20250910;20250911;0.390;1.835;38.655;0
20250909;20250910;-0.260;1.697;33.604;1
20250908;20250909;1.600;3.743;52.434;0
20250905;20250908;1.080;2.815;49.872;1
20250904;20250905;1.500;3.151;68.459;1
20250903;20250904;-2.660;3.862;47.303;1
20250902;20250903;-1.570;4.058;79.885;0
20250901;20250902;0.930;3.034;61.438;0
20250829;20250901;0.270;2.258;46.200;1
20250828;20250829;0.130;5.207;57.305;1
20250827;20250828;-2.590;3.113;59.247;1
20250826;20250827;1.580;6.176;84.354;0
20250825;20250826;-2.190;3.213;86.804;1
20250822;20250825;-0.260;5.641;93.180;0
20250821;20250822;2.090;3.268;89.544;0
20250820;20250821;0.390;2.237;68.521;1
20250819;20250820;1.200;3.586;100.902;1
20250818;20250819;2.590;6.658;123.366;1
20250815;20250818;0.690;1.918;44.134;1
20250814;20250815;-2.670;2.677;52.954;1
20250813;20250814;0.000;2.397;43.214;0
20250812;20250813;-1.320;2.999;56.489;0
20250811;20250812;0.800;5.186;127.505;0
20250808;20250811;5.620;8.696;169.125;1
20250807;20250808;-0.420;1.821;45.128;1
20250806;20250807;-1.380;2.762;56.264;0
20250805;20250806;0.830;2.774;52.964;0
20250804;20250805;1.130;2.101;40.292;1
20250801;20250804;0.280;1.693;38.189;1
20250731;20250801;-0.980;2.945;39.295;1
20250730;20250731;-0.420;1.662;34.910;0
20250729;20250730;-1.240;3.151;38.767;0
20250728;20250729;0.000;2.332;52.298;0
20250725;20250728;-2.150;2.953;61.308;0
20250724;20250725;5.380;6.329;106.544;0
20250723;20250724;-0.980;1.972;34.058;1
20250722;20250723;-1.250;3.994;52.160;0
20250721;20250722;1.690;1.252;40.065;0
20250718;20250721;-0.140;1.543;30.531;1
20250717;20250718;0.000;1.122;32.026;0
20250716;20250717;1.860;2.143;41.814;0
20250715;20250716;-2.100;5.182;61.463;1
20250714;20250715;0.000;2.941;44.676;0
20250711;20250714;-0.140;1.961;39.858;0
20250710;20250711;-0.830;2.222;41.733;0
20250709;20250710;-1.100;2.204;39.065;0
20250708;20250709;0.690;1.931;50.575;0
20250707;20250708;-1.630;4.060;64.840;1
20250704;20250707;-1.740;2.008;47.089;0
20250703;20250704;-0.930;2.119;48.477;0
20250702;20250703;0.000;1.587;25.157;0
20250701;20250702;-0.790;2.490;43.532;0
20250630;20250701;-0.780;3.230;56.893;0
20250627;20250630;-0.260;1.688;29.861;0
20250626;20250627;-1.160;2.439;42.798;0
20250625;20250626;-0.380;3.061;42.199;0
20250624;20250625;0.770;2.311;38.761;0
20250623;20250624;2.510;3.571;36.262;1
20250620;20250623;0.130;3.444;49.498;1
20250619;20250620;-3.940;5.740;51.585;1
20250618;20250619;-0.880;2.290;31.857;0
20250617;20250618;0.890;1.901;29.713;0
20250616;20250617;-1.010;2.774;35.656;1
20250613;20250616;-2.930;3.690;57.929;0
20250612;20250613;-0.850;2.427;39.631;0
20250611;20250612;1.980;2.970;49.580;0
20250610;20250611;-3.460;4.584;88.936;1
20250609;20250610;1.210;2.670;59.330;0
20250606;20250609;0.490;1.807;45.046;1
20250605;20250606;-1.320;2.990;62.859;1
20250604;20250605;3.470;4.833;83.913;0
20250603;20250604;2.670;4.215;74.836;1
20250530;20250603;0.380;2.949;49.764;1
20250529;20250530;1.560;2.868;41.364;1
20250528;20250529;-0.390;2.949;37.863;1
20250527;20250528;1.710;2.910;46.129;0
20250526;20250527;-3.300;5.641;89.290;1
20250523;20250526;-1.630;4.304;86.304;0
20250522;20250523;4.440;4.849;98.368;0
20250521;20250522;1.730;3.453;51.742;1
20250520;20250521;1.210;2.282;38.960;1
20250519;20250520;1.640;3.415;57.988;1
20250516;20250519;0.270;2.316;37.693;1
20250515;20250516;0.270;2.351;43.548;1
20250514;20250515;-0.140;1.920;51.321;1
20250513;20250514;2.530;4.196;83.330;0
20250512;20250513;0.140;3.631;103.498;1
20250509;20250512;2.010;3.874;69.540;1
20250508;20250509;2.650;4.620;69.865;1
20250507;20250508;-0.590;4.467;61.498;1
20250506;20250507;1.490;3.704;72.323;0
20250430;20250506;-1.470;3.088;67.176;1
20250429;20250430;1.940;3.852;90.031;0
20250428;20250429;-6.560;7.082;199.384;1
20250425;20250428;9.980;10.597;287.577;0
20250424;20250425;-1.660;5.430;58.018;1
20250423;20250424;-1.050;2.954;70.216;0
20250422;20250423;3.560;4.489;93.898;0
20250421;20250422;4.870;5.844;77.976;1
20250418;20250421;1.320;4.262;46.198;1
20250417;20250418;1.670;3.866;47.196;1
20250416;20250417;-0.830;4.485;42.664;1
20250415;20250416;-3.210;4.509;83.700;0
20250414;20250415;5.240;11.706;131.135;0
20250411;20250414;1.720;4.655;30.037;1
20250410;20250411;5.820;5.536;39.698;1
20250409;20250410;2.420;12.523;32.136;1
20250408;20250409;-3.760;7.353;35.144;1
20250407;20250408;-10.000;8.224;39.393;0
20250403;20250407;0.980;1.961;19.206;0
20250402;20250403;0.160;2.121;15.211;1
20250401;20250402;0.660;2.632;21.768;1
20250331;20250401;-1.770;3.710;19.811;1
20250328;20250331;-2.360;2.532;21.156;0
20250327;20250328;-0.160;2.857;29.882;0
20250326;20250327;4.950;8.046;73.152;0
20250325;20250326;1.000;4.167;32.451;1
20250324;20250325;-4.150;5.591;43.798;1
20250321;20250324;-0.630;3.025;32.612;0
20250320;20250321;-0.320;1.735;21.001;0
20250319;20250320;-1.860;2.184;21.704;0
20250318;20250319;1.100;1.863;26.194;0
20250317;20250318;0.310;3.297;34.143;1
20250314;20250317;2.420;3.221;41.408;1
20250313;20250314;-0.960;2.544;37.563;1
20250312;20250313;-1.420;2.205;29.781;0
20250311;20250312;-0.630;1.577;20.201;0
20250310;20250311;0.310;1.884;19.175;0
20250307;20250310;-0.930;1.866;21.741;1
20250306;20250307;0.310;1.404;22.022;0
20250305;20250306;-0.770;2.477;26.726;1
20250304;20250305;2.050;2.362;25.861;0
20250303;20250304;1.440;3.185;36.825;1
20250228;20250303;-3.850;3.704;37.094;1
20250227;20250228;-0.460;2.151;25.196;0
20250226;20250227;1.090;1.860;24.856;0
20250225;20250226;-2.420;2.723;33.591;1
20250224;20250225;1.850;4.784;49.316;0
